"Hópur","Flokkur","Aðalval","Fyrirtæki","Fit","Staðfest","Af hverju","Tilboðshugmynd","Vefur","Sími","Netfang","Tengiliður","Kennitala","Athugasemd"
"Framkvæmdir","Gluggaskipti","já","Gluggalausnir","4","já","PVC-, tré/ál- og álgluggar með ísetningu, frá 2014.","Frí skoðun + 10% af gluggaskiptum","gluggalausnir.is","519-7787","lausnir@gluggalausnir.is","","","Skörun við Gluggavini/Íspan/Áltak"
"Framkvæmdir","Gluggaskipti","nei","GLG – Gluggameistarinn","3","já","Viðgerðir og ísetning glugga og hurða.","Frí úttekt","glg.is","845-9596","glg@glg.is","","",""
"Framkvæmdir","Handrið, stigar & stálsmíði","já","JSÓ – Járnsmiðja Óðins","4","nei","Stigar, stál-, ryðfrí- og glerhandrið á svalir og palla.","10% af handriði eða stiga","jso.is","","","","",""
"Framkvæmdir","Handrið, stigar & stálsmíði","nei","Stálsmíði ehf.","3","já","Almenn smiðja, Hafnarfirði.","Frítt tilboð og mæling","stalsmidi.is","564-4404","stalsmidi@stalsmidi.is","","600420-0700",""
"Framkvæmdir","Hljóðvist","já","Exton","3","já","Hljóðvistarplötur og hljóðeinangrun, frá 1993. Opin rými og heimaskrifstofur.","Afsláttur af hljóðvistarplötum","exton.is","575-4600","exton@exton.is","","",""
"Framkvæmdir","Verktakagátt / handyman","já","Maur.is","2","nei","Markaðstorg fyrir verktaka. Líklega of lítið fyrir verðið.","Kóði fyrir fyrsta verk","maur.is","","","","",""
"Framkvæmdir","Verktakagátt / handyman","nei","VerktakinnÞinn","2","nei","Bókun á rafvirkja, pípara o.fl. Ungt og lítið.","—","verktakinnthinn.is","","","","",""
"Úti & garður","Garðaþjónusta (heilsárs)","já","Garðlist ehf.","5","já","Eitt stærsta garðaþjónustufyrirtækið: sláttur, snjómokstur, seríur, slátturóbótar. Nýr garður er oft vanræktur.","Frí garðúttekt + 20% af fyrsta ári í sláttu-/snjómokstursáskrift","gardlist.is","554-1989","gardlist@gardlist.is · brynjar@gardlist.is","Brynjar Kjærnested, framkvæmdastjóri; Björn Friðrik Einisson, framkv.stj. rekstrar","",""
"Úti & garður","Garðaþjónusta (heilsárs)","nei","Garðaþjónusta Íslands ehf.","5","já","Heildarlausn fyrir lóð: hellulagnir, pallar, sláttur, trjáklippingar.","Frí hönnunarráðgjöf + 10% af hellulögn","gardathjonustaislands.is","517-5900","hjorleifur@garda.is · robert@garda.is","Hjörleifur / Róbert","670208-1680",""
"Úti & garður","Garðaþjónusta (heilsárs)","nei","Garðaþjónusta Reykjavíkur","4","nei","Kaupir sýnilega Google-auglýsingar.","Frítt tilboð + afsláttur","gardathjonusta.is","","","","",""
"Úti & garður","Snjómokstur & hálkuvarnir","já","Allt fyrir garðinn ehf.","4","já","Fyrsti veturinn í nýju húsi: innkeyrsla án fyrirhafnar. Garðabæ.","Fyrsti mánuður snjómokstursáskriftar frír","alltfyrirgardinn.is","513-1010","postur@alltfyrirgardinn.is","","",""
"Úti & garður","Snjómokstur & hálkuvarnir","nei","Hreinsitækni ehf.","3","nei","Stórt og rótgróið.","Afsláttur af vetrarsamningi","hrt.is","","","","",""
"Úti & garður","Jólaljós & útilýsing","já","Hreinir Garðar ehf.","5","já","Jólaseríur (sala, uppsetning, niðurtaka, geymsla) + trjáfellingar. Fyrstu jólin í nýju húsi.","15% af fyrstu seríuuppsetningu eða frí geymsla fyrsta árið","hreinirgardar.is","571-2000","hreinirgardar@hreinirgardar.is","Þorsteinn Kr. Haraldsson, framkv.stj. og eigandi","690909-0810",""
"Úti & garður","Jólaljós & útilýsing","nei","Lóðir & Ljós ehf.","4","já","Leiga á jólaljósum í áskrift, slátturóbótar.","Fyrsta jólaleiga á afslætti","lodirogljos.is","779-4777","logl@logl.is","","",""
"Úti & garður","Jólaljós & útilýsing","nei","Utan Lýsing","4","nei","Varanleg LED-útilýsing stýrð með appi (skapandi flokkur).","Afsláttur á lengdarmetra","utanlysing.is","","","","",""
"Úti & garður","Heitir pottar","já","Heitirpottar.is","5","já","Arctic Spas rafmagnspottar. Pottur er algengasta fyrsta fjárfesting í nýjum garði; auglýsa mikið. Fosshálsi 13.","Frítt lok, tröppur eða efnapakki með potti","heitirpottar.is","547-8880","heitirpottar@heitirpottar.is","","",""
"Úti & garður","Heitir pottar","nei","Jón Bergsson (J. Bergs ehf.)","5","já","Pottar (Softub) + garðskálar, 85+ ár. Kletthálsi 15.","Afsláttur af potti + garðskála saman","jonbergsson.is","588-8886","jon@jonbergsson.is","","",""
"Úti & garður","Heitir pottar","nei","Trefjar","4","já","Framleiðandi potta og sauna, sýningarsalur Hf.","Frír aukahlutapakki","trefjar.is","550-0100","sala@trefjar.is","","",""
"Úti & garður","Heitir pottar","nei","Laugin","4","já","Pottar + sauna, Tónahvarfi 10.","Samsett tilboð","laugin.is","578-3030","laugin@laugin.is","","450124-1170",""
"Úti & garður","Sauna & gufuböð","já","Sauna.is","4","já","Saunaklefar, infrarauðir klefar, blautgufur. Smiðjuvegi 1.","10% + frír aukahlutapakki","sauna.is","571-3770","sauna@sauna.is","","",""
"Úti & garður","Garðhús, smáhýsi & gróðurhús","já","Listhús Arc","4","já","Garðhús (Juliana), gróðurhús (Halls), smáhýsi undir 15 m² án byggingarleyfis.","Frí heimsending/uppsetning","listhus.is","888-0606","info@listhus.is · baldvin@listhus.is","Baldvin Baldvinsson, sala","",""
"Úti & garður","Garðhús, smáhýsi & gróðurhús","nei","Kofar og hús","4","já","Garðhús og kofar, rótgróið.","Afsláttur af garðhúsi","kofaroghus.is","553-1545","kofaroghus@kofaroghus.is","","",""
"Úti & garður","Garðvörur, plöntur & garðhúsgögn","já","Garðheimar","5","já","Stærsta sjálfstæða garðvöruverslunin (Blómaval er Húsasmiðjan). Plöntur, garðhúsgögn, grill, seríur. Stórt markaðsfé.","15–20% afsláttarmiði: „fyrsta tréð í nýja garðinn“","gardheimar.is","540-3300","verslun@gardheimar.is · sala@gardheimar.is","","",""
"Úti & garður","Garðvörur, plöntur & garðhúsgögn","nei","Borð og bekkir","3","já","Útihúsgögn smíðuð á Granda.","Afsláttur af settum","bordogbekkir.is","690-5276","bb@bordogbekkir.is","","520422-0720",""
"Úti & garður","Grill & útieldhús","já","Járn & Gler / Weber-salurinn","4","já","Weber á Íslandi: grill, varahlutir, þjónusta. Nýr pallur kallar á grill.","Fríir aukahlutir eða ábreiða með grilli","weber.is","585-8900","jarngler@jarngler.is","","670169-6189",""
"Úti & garður","Leiktæki & trampólín","já","KRUMMA ehf.","4","já","BERG-trampólín (líka niðurgrafin) og leiktæki. Barnafjölskyldur í hús með garði.","10% eða frí uppsetning á niðurgröfnu trampólíni","krumma.is","587-8700","","","450193-2409",""
"Úti & garður","Snjóbræðsla undir innkeyrslu","já","B.T. Verktakar ehf.","4","já","Snjóbræðsla, hellulagnir, jarðvinna. Innkeyrslan er oft gerð upp fljótlega eftir kaup. Lítið fyrirtæki.","Frí hönnun + afsláttur á m²","btverk.is","898-4202","baldur@btverk.is","Baldur, eigandi","",""
"Úti & garður","Snjóbræðsla undir innkeyrslu","nei","Hellur.is","3","já","Hellulagnir + snjóbræðsla.","Afsláttur á m²","hellur.is","888-1050","hellur@hellur.is","","",""
"Úti & garður","Snjóbræðsla undir innkeyrslu","nei","Pípulagnaþjónustan","3","já","Gólfhiti og snjóbræðsla við affall hússins.","Frí úttekt","pipulagnathjonustan.is","691-0829","magnus@pipulagnathjonustan.is","Magnús Eðvald Halldórsson","",""
"Úti & garður","Þakrennur","já","Þak.is · Límtré Vírnet · thakrenna.is","2","nei","Ekki tími til að staðfesta. Þak.is 699-6980, Límtré Vírnet 412-5300 (óstaðfest).","—","thak.is","","","","","Skörun við MJ Lausnir"
"Þjónusta & skapandi","Flutningar & búslóðageymsla","já","Propack – Pökkun & flutningar","4","já","30+ ár, pakkar, flytur og geymir. Bæklingurinn kemur eftir flutning, svo seldu geymslu og „næsta flutning“.","10% af flutningi eða frí pökkunarefni","propack.is","587-9700","propack@propack.is","","",""
"Þjónusta & skapandi","Flutningar & búslóðageymsla","nei","Flutningaþjónustan ehf.","4","já","Búslóðaflutningar á höfuðborgarsvæðinu.","Frír fyrsti klukkutími","flutningathjonustan.is","555-1100","info@flutningathjonustan.is","","",""
"Þjónusta & skapandi","Flutningar & búslóðageymsla","nei","VR Flutningar","3","nei","Ódýrir flutningar og förgun.","10%","vrflutningar.is","490-0491","","","",""
"Þjónusta & skapandi","Inniþrif – flutningsþrif & áskrift","já","Dagar hf.","4","já","Stærsta ræstingafyrirtæki landsins, stórt markaðsfé. Staðfesta að þeir bjóði heimilisþrif.","20% af flutningsþrifum eða fyrsti mánuður í áskrift á hálfvirði","dagar.is","580-0600","dagar@dagar.is","","",""
"Þjónusta & skapandi","Inniþrif – flutningsþrif & áskrift","nei","MG hreinsun","4","já","Sérhæfir sig í flutnings- og djúpþrifum.","15% af flutningsþrifum","mghreinsun.is","440-1440","mghreinsun@mghreinsun.com","","",""
"Þjónusta & skapandi","Inniþrif – flutningsþrif & áskrift","nei","Hreint ehf.","4","já","Rótgróið ræstingafyrirtæki.","Frí fyrsta heimsókn í áskrift","hreint.is","589-5000","","","",""
"Þjónusta & skapandi","Teppa-, mottu- & sófahreinsun","já","Sólar ehf.","3","já","Stórt fyrirtæki með teppahreinsun sem sérþjónustu. Sameina með þrifum ef mögulegt.","Frí hreinsun á einum sófa með teppahreinsun","solarehf.is","581-4000","solarehf@solarehf.is","","",""
"Þjónusta & skapandi","Teppa-, mottu- & sófahreinsun","nei","Skúfur","3","já","Sérhæft í teppum og mottum, Ármúla 34.","20% af djúphreinsun","skufur.is","663-0553","hreinsun@skufur.is","","",""
"Þjónusta & skapandi","Gámaleiga fyrir framkvæmdaúrgang","já","Terra (áður Gámaþjónustan)","5","já","Nýir eigendur rífa út eldhús og gólfefni. Stórt fyrirtæki.","Frír flutningur á fyrsta gámi eða 15% af leigu","terra.is","535-2500","terra@terra.is","","",""
"Þjónusta & skapandi","Gámaleiga fyrir framkvæmdaúrgang","nei","Íslenska gámafélagið","5","já","Helsti keppinautur Terra.","Sama tilboð","igf.is","577-5757","igf@igf.is","","",""
"Þjónusta & skapandi","Véla- & verkfæraleiga","já","HAGI ehf. (Hilti)","3","nei","Borvélar, sagir, mælitæki. Sinnir mest fagmönnum. BYKO-leiga væri sterkari en skarast við Húsasmiðjuna.","Fyrsti leigudagur frír","hagi.is","","","","",""
"Þjónusta & skapandi","Nafnaskilti, húsnúmer & póstkassi (skapandi)","já","Skilti & Merkingar","3","já","Allir þurfa nafn á póstkassann. Litlir peningar, en tilboðið er nýtt af öllum.","Frítt póstkassaskilti með hurðarskilti / 25% með kóða","skiltiogmerkingar.is","536-4676","sm@skiltiogmerkingar.is","","",""
"Þjónusta & skapandi","Nafnaskilti, húsnúmer & póstkassi (skapandi)","nei","Verslunin Brynja","3","já","Hurðaskilti, húsnúmer, járnvara. Rótgróin á Laugavegi.","15% af skiltum og húsnúmerum","brynja.is","552-4320","brynja@brynja.is","","",""
"Þjónusta & skapandi","Nafnaskilti, húsnúmer & póstkassi (skapandi)","nei","PMT","2","já","Merkingar fyrir fjölbýli.","Afsláttur til húsfélaga","pmt.is","567-8888","sala@pmt.is","","",""
"Þjónusta & skapandi","Bílaþvottur í áskrift","já","Löður","3","já","Nýtt hverfi, ný þvottastöð. Áskriftarlíkan.","Fyrsti mánuður í áskrift frír","lodur.is","568-0000","lodur@lodur.is","","",""
